latitude,longitude,acq_date,confidence,frp,daynight
52.40193,12.49559,2026-05-16,n,1.01,N
52.47779,4.58468,2026-05-16,n,0.76,N
52.48344,4.59295,2026-05-16,n,2.57,N
52.4843,4.58737,2026-05-16,n,0.76,N
52.49063,4.61374,2026-05-16,n,2.0,N
52.49216,4.62625,2026-05-16,n,0.9,N
52.49389,4.61509,2026-05-16,n,2.0,N
52.49475,4.60951,2026-05-16,n,2.0,N
52.49688,4.61141,2026-05-16,n,1.24,N
53.34007,-1.75035,2026-05-16,n,1.27,N
53.39959,-1.38441,2026-05-16,n,0.58,N
47.17289,7.55932,2026-05-16,n,1.45,N
47.17639,7.56088,2026-05-16,n,1.45,N
47.28596,0.78829,2026-05-16,n,1.01,N
50.95736,5.79703,2026-05-16,n,0.55,N
50.9704,5.80265,2026-05-16,n,6.89,N
50.97366,5.80405,2026-05-16,n,6.89,N
51.02811,2.27343,2026-05-16,n,1.31,N
51.0289,2.26779,2026-05-16,n,1.48,N
51.03204,2.24521,2026-05-16,n,4.03,N
51.03321,2.28706,2026-05-16,n,2.01,N
51.03459,2.25202,2026-05-16,n,1.48,N
51.03478,2.27578,2026-05-16,n,1.1,N
51.03654,2.28823,2026-05-16,n,1.58,N
51.04242,2.29621,2026-05-16,n,3.55,N
51.04321,2.29057,2026-05-16,n,3.55,N
51.04497,2.30302,2026-05-16,n,0.83,N
51.04576,2.29738,2026-05-16,n,3.55,N
51.16566,3.8124,2026-05-16,n,6.07,N
51.16649,3.80695,2026-05-16,n,1.81,N
51.16682,4.3314,2026-05-16,n,1.08,N
51.1681,3.8191,2026-05-16,n,1.99,N
51.16893,3.81366,2026-05-16,n,1.99,N
51.16976,3.80822,2026-05-16,n,3.35,N
51.1706,3.80277,2026-05-16,n,3.35,N
51.17303,3.80948,2026-05-16,n,3.35,N
51.17386,3.80403,2026-05-16,n,3.35,N
51.1763,3.81074,2026-05-16,n,0.74,N
51.26707,4.32633,2026-05-16,n,0.88,N
36.86286,6.95908,2026-05-16,n,0.74,N
38.20284,15.26618,2026-05-16,n,1.59,N
38.37692,-0.54377,2026-05-16,n,1.01,N
38.91994,-9.01192,2026-05-16,n,2.65,N
38.92154,-9.0116,2026-05-16,n,2.07,N
39.93592,-3.74761,2026-05-16,n,0.67,N
40.5052,17.20886,2026-05-16,n,2.16,N
40.57795,0.54375,2026-05-16,n,0.7,N
41.3079,0.62301,2026-05-16,n,0.73,N
41.45585,1.97864,2026-05-16,n,0.49,N
41.47671,-1.48928,2026-05-16,n,0.62,N
41.53596,-3.11925,2026-05-16,n,1.18,N
41.53885,-3.11308,2026-05-16,n,1.1,N
41.92481,0.17983,2026-05-16,n,0.62,N
42.5514,-6.76822,2026-05-16,n,1.16,N
42.55359,-6.76718,2026-05-16,n,0.4,N
43.18637,0.99157,2026-05-16,n,0.64,N
43.4349,4.89357,2026-05-16,n,0.96,N
43.43935,4.88955,2026-05-16,n,1.19,N
43.44278,4.89079,2026-05-16,n,1.19,N
43.44521,4.89728,2026-05-16,n,12.04,N
43.44622,4.89202,2026-05-16,n,6.97,N
43.44865,4.89852,2026-05-16,n,12.04,N
35.02507,-3.39302,2026-05-16,n,0.67,N
35.0257,-3.39742,2026-05-16,n,0.67,N
35.31091,-1.34536,2026-05-16,n,0.61,N
35.34789,5.76108,2026-05-16,n,2.9,N
35.45937,-0.3955,2026-05-16,n,0.82,N
35.50935,-0.59439,2026-05-16,n,0.38,N
35.52794,-0.27855,2026-05-16,n,0.85,N
35.53123,-0.27769,2026-05-16,n,0.85,N
35.70858,4.47475,2026-05-16,n,0.89,N
35.76138,-0.26817,2026-05-16,n,1.07,N
35.76397,-0.26308,2026-05-16,n,1.67,N
35.78313,0.53942,2026-05-16,n,0.57,N
35.80305,-0.21426,2026-05-16,n,0.74,N
35.80474,-0.24494,2026-05-16,n,1.38,N
35.80688,-0.25774,2026-05-16,n,0.75,N
35.80947,-0.25264,2026-05-16,n,0.9,N
35.80993,-0.23474,2026-05-16,n,0.72,N
35.81018,-0.2569,2026-05-16,n,0.9,N
35.81303,-0.27395,2026-05-16,n,0.39,N
35.81562,-0.26884,2026-05-16,n,0.39,N
36.17954,-5.42547,2026-05-16,n,1.17,N
36.18049,3.74906,2026-05-16,n,0.96,N
36.59742,3.13905,2026-05-16,n,0.58,N
36.59811,2.88081,2026-05-16,n,0.98,N
36.67988,3.12262,2026-05-16,n,0.99,N
