latitude,longitude,acq_date,confidence,frp,daynight,country
50.13212,29.98891,2026-05-15,h,456.25,D,Ukraine
45.21706,28.85383,2026-05-16,n,123.47,D,Romania
50.12323,29.98574,2026-05-15,n,107.77,D,Ukraine
50.12955,29.99687,2026-05-15,l,90.82,D,Ukraine
50.13609,29.99706,2026-05-15,h,90.82,D,Ukraine
50.1278,29.99939,2026-05-15,n,70.45,D,Ukraine
50.12785,29.99088,2026-05-15,n,70.45,D,Ukraine
50.13433,29.99954,2026-05-15,l,70.45,D,Ukraine
50.13438,29.99104,2026-05-15,n,70.45,D,Ukraine
45.54865,11.96755,2026-05-17,n,31.58,D,Italy
